Species,Mean.Eggs
Olive.Ridley,127
Olive.Ridley,110
Olive.Ridley,112
Olive.Ridley,110
Olive.Ridley,118
Olive.Ridley,115
Olive.Ridley,120
Olive.Ridley,108
Olive.Ridley,120
Olive.Ridley,126
Olive.Ridley,114
Olive.Ridley,130
Olive.Ridley,123
Olive.Ridley,128
Olive.Ridley,121
Olive.Ridley,109
Hawksbill,143
Hawksbill,144
Hawksbill,124
Hawksbill,145
Hawksbill,122
Hawksbill,132
Hawksbill,121
Hawksbill,127
Hawksbill,151
Hawksbill,105
Hawksbill,141
Hawksbill,132
Hawksbill,145
Hawksbill,132
Hawksbill,151
Hawksbill,111
Leatherback,149
Leatherback,143
Leatherback,128
Leatherback,111
Leatherback,110
Leatherback,109
Leatherback,110
Leatherback,105
Leatherback,89
Leatherback,98
Leatherback,112
Leatherback,108
Leatherback,109
Leatherback,101
Leatherback,97
Leatherback,110
